class	vtable	base_classes	slot_count
vtable_008ca088	0x008ca088		40
vtable_008ca12c	0x008ca12c		53
vtable_008ca208	0x008ca208		12
BFAIRemoveTokenInfo	0x008ca238		13
ZTCureDiseaseMode	0x008ca4c0		9
ZTCureDiseaseMode	0x008ca4e4		27
vtable_008ca558	0x008ca558		14
vtable_008ca5a4	0x008ca5a4		7
vtable_008ca5e0	0x008ca5e0		6
vtable_008ca600	0x008ca600		18
vtable_008ca650	0x008ca650		40
vtable_008ca6f4	0x008ca6f4		38
ZTFirstPersonMode	0x008ca8c8		9
ZTFirstPersonMode	0x008ca8ec		27
vtable_008ca960	0x008ca960		14
vtable_008ca9ac	0x008ca9ac		7
vtable_008ca9e8	0x008ca9e8		6
vtable_008caa08	0x008caa08		18
vtable_008caa58	0x008caa58		105
vtable_008cad84	0x008cad84		5
ZTFossilFindingMode	0x008cad98		36
vtable_008cae30	0x008cae30		14
vtable_008cae7c	0x008cae7c		7
vtable_008caeb8	0x008caeb8		6
vtable_008caed8	0x008caed8		18
vtable_008caf28	0x008caf28		83
ZTFPActionModeBase	0x008cb0c8		9
ZTFPActionModeBase	0x008cb0ec		27
vtable_008cb160	0x008cb160		14
vtable_008cb1ac	0x008cb1ac		7
vtable_008cb1e8	0x008cb1e8		6
vtable_008cb208	0x008cb208		18
vtable_008cb258	0x008cb258		80
ZTFPClimbLadderMode	0x008cb3c0		9
ZTFPClimbLadderMode	0x008cb3e4		27
vtable_008cb458	0x008cb458		14
vtable_008cb4a4	0x008cb4a4		7
vtable_008cb4e0	0x008cb4e0		6
vtable_008cb500	0x008cb500		18
vtable_008cb550	0x008cb550		87
vtable_008cbe68	0x008cbe68		10
ZTFPTrainingMode	0x008cbe90		36
vtable_008cbf28	0x008cbf28		14
vtable_008cbf74	0x008cbf74		7
vtable_008cbfb0	0x008cbfb0		6
vtable_008cbfd0	0x008cbfd0		18
vtable_008cc020	0x008cc020		108
BFPoint3Event	0x008cc1d0		34
vtable_008cc2d8	0x008cc2d8		5
vtable_008cc2fc	0x008cc2fc		33
vtable_008cc388	0x008cc388		14
vtable_008cc3d4	0x008cc3d4		7
vtable_008cc410	0x008cc410		6
vtable_008cc430	0x008cc430		18
vtable_008cc480	0x008cc480		40
vtable_008cc524	0x008cc524		43
vtable_008cc5d4	0x008cc5d4		7
vtable_008cc8ac	0x008cc8ac		6
ZTPhotoMode	0x008cc8c4		27
vtable_008cc938	0x008cc938		14
vtable_008cc984	0x008cc984		7
vtable_008cc9c0	0x008cc9c0		6
vtable_008cc9e0	0x008cc9e0		18
vtable_008cca30	0x008cca30		40
vtable_008ccad4	0x008ccad4		37
vtable_008ccb74	0x008ccb74		5
vtable_008cccec	0x008cccec		33
vtable_008ccd78	0x008ccd78		14
vtable_008ccdc4	0x008ccdc4		7
vtable_008cce00	0x008cce00		6
vtable_008cce20	0x008cce20		18
vtable_008cce70	0x008cce70		83
ZTSuperStaffMode	0x008cd028		9
ZTSuperStaffMode	0x008cd04c		27
vtable_008cd0c0	0x008cd0c0		14
vtable_008cd10c	0x008cd10c		7
vtable_008cd148	0x008cd148		6
vtable_008cd168	0x008cd168		18
vtable_008cd1b8	0x008cd1b8		84
ZTTranquilizeMode	0x008cd6c8		9
ZTTranquilizeMode	0x008cd6ec		27
vtable_008cd760	0x008cd760		14
vtable_008cd7ac	0x008cd7ac		7
vtable_008cd7e8	0x008cd7e8		6
vtable_008cd808	0x008cd808		18
vtable_008cd858	0x008cd858		84
ZTUILayoutMode	0x008cda38		9
ZTUILayoutMode	0x008cda5c		27
vtable_008cdad0	0x008cdad0		14
vtable_008cdb1c	0x008cdb1c		7
vtable_008cdb58	0x008cdb58		6
vtable_008cdb78	0x008cdb78		18
vtable_008cdbc8	0x008cdbc8		84
ZTAdoptionMgr	0x008cdf88		41
ZTUIAdoptionButton	0x008ce030		14
vtable_008ce06c	0x008ce06c		11
vtable_008ce09c	0x008ce09c		9
vtable_008ce0c8	0x008ce0c8		14
vtable_008ce114	0x008ce114		7
vtable_008ce150	0x008ce150		6
vtable_008ce170	0x008ce170		18
vtable_008ce1c0	0x008ce1c0		53
ZTAdoptionSlot	0x008ce298		26
vtable_008ce308	0x008ce308		5
ZTAdoptionSlotMgr	0x008ce320		51
vtable_008ce5e4	0x008ce5e4		11
vtable_008ce614	0x008ce614		11
vtable_008ce650	0x008ce650		7
vtable_008ce670	0x008ce670		14
vtable_008ce6bc	0x008ce6bc		7
vtable_008ce6f8	0x008ce6f8		6
vtable_008ce718	0x008ce718		18
vtable_008ce768	0x008ce768		45
vtable_008ce8c8	0x008ce8c8		12
vtable_008ce8fc	0x008ce8fc		5
vtable_008ce914	0x008ce914		5
vtable_008ce92c	0x008ce92c		9
vtable_008ce958	0x008ce958		14
