class	vtable	base_classes	slot_count
BFColorInterpolateSkyLayer	0x008fe7b8		28
BFTravAnimPathComponent	0x008fe870		40
BFAnimManager	0x008fe928		29
BFSharedRandomTextureInfo	0x008fe9c0		29
vtable_008feb28	0x008feb28		21
vtable_008feb94	0x008feb94		21
BFLineComponent	0x008fec18		113
BFHeadLookComponent	0x008feeb0		40
BFDecalComponent	0x008fef68		128
BFNISceneGraphComponent	0x008ff1d8		113
BFSceneGraphComponent	0x008ff488		103
vtable_008ff650	0x008ff650		16
BFAnimGraph	0x008ffaa0		23
BFTravAnimPathMoverComponent	0x008ffb20		38
BFDecorativeDetailObjectComponent	0x008ffc00		108
BFSwimComponent	0x008ffdf0		38
BFRSceneGraphComponent	0x008ffeb8		116
BFWorldFittingSurface	0x009000a0		11
BFTextureSwapInfo	0x009001b4		16
BFShadowLODComponent	0x00900228		38
BFHighlightComponent	0x00900300		40
BFSharedPhysVars	0x00900498		25
BFFadeControllerComponent	0x00900518		38
vtable_009005dc	0x009005dc		35
vtable_00900680	0x00900680		7
BFTerrainFittingSurface	0x009006b4		10
vtable_00900730	0x00900730		19
vtable_00900780	0x00900780		19
vtable_00900810	0x00900810		4
vtable_00900a9c	0x00900a9c		15
BFEnvMapSwapComponent	0x00900b30		38
BFDeflectedCamera	0x00900c28		115
vtable_00900df8	0x00900df8		7
BFDeflectedCamera	0x00900e28		115
vtable_00900ff8	0x00900ff8		4
BFWaterfall	0x0090109c		20
vtable_009013bc	0x009013bc		20
BFNiBoneLODComponent	0x00901448		113
vtable_0090162c	0x0090162c		12
BFDX9Renderer	0x00901798		30
BFUIRenderer	0x00901820		37
vtable_009018c8	0x009018c8		34
BFAnimController	0x00901974		11
vtable_009019d8	0x009019d8		17
BFShadowCamera	0x00901a34		114
vtable_00901c00	0x00901c00		4
vtable_00901c34	0x00901c34		15
vtable_00901cfc	0x00901cfc		35
vtable_00901dc0	0x00901dc0		19
vtable_00901e10	0x00901e10		16
BFFallComponent	0x00901e80		21
vtable_00901edc	0x00901edc		15
BFRActorComponent	0x00901f7c		116
vtable_00902150	0x00902150		6
vtable_00902170	0x00902170		15
vtable_009021b0	0x009021b0		44
BFAnimTable	0x00902270		27
vtable_009022e8	0x009022e8		11
vtable_00902490	0x00902490		7
vtable_009024c8	0x009024c8		23
BFSndComponent	0x00902538		32
BFMultiGroundFitComponent	0x009025e8		43
BFMovingComponent	0x009026e0		38
BFForwardMovingComponent	0x00902798		38
BFRotYawMovingComponent	0x00902848		38
BFDockingComponent	0x009028f8		38
BFOverheadCameraUDVComponent	0x009029d8		48
BFSimpleLODComponent	0x00902a98		115
vtable_00902c68	0x00902c68		4
BFHoverGroundFitComponent	0x00902cc0		43
BFDebugComponent	0x00902d80		38
BFForceUpdateWhenVisibleComponent	0x00902e50		38
BFSuicideComponent	0x00902f08		38
BFHasParticleComponent	0x00902fb8		38
BFSpineBendComponent	0x00903108		38
BFWaterGroundFitComponent	0x009031c0		45
BFPhysicsComponent	0x00903288		38
BFTimeTriggersComponent	0x00903360		38
BFTimeKeyInfo	0x009033f8		25
BFNIActorComponent	0x00903460		118
vtable_00903648	0x00903648		4
vtable_00903660	0x00903660		15
vtable_009036a0	0x009036a0		44
vtable_0090379c	0x0090379c		10
vtable_009037cc	0x009037cc		6
BFNodeTCBPosAnimController	0x00903800		11
vtable_00903854	0x00903854		8
BFNodeBezierScaleAnimController	0x00903898		10
vtable_009038e8	0x009038e8		9
BFNodeBezierRotAnimController	0x0090392c		11
BFNodePosAnimController	0x00903974		10
BFNodeRotAnimController	0x009039b4		11
vtable_00903a0c	0x00903a0c		10
vtable_00903a5c	0x00903a5c		9
vtable_00903aac	0x00903aac		10
vtable_00903af8	0x00903af8		15
vtable_00903c50	0x00903c50		4
vtable_00903c68	0x00903c68		15
vtable_00903ca8	0x00903ca8		42
vtable_00903e10	0x00903e10		11
vtable_00904120	0x00904120		26
vtable_009041a0	0x009041a0		62
vtable_0090429c	0x0090429c		8
vtable_009042c0	0x009042c0		17
vtable_00904308	0x00904308		15
vtable_00904348	0x00904348		10
vtable_009043a8	0x009043a8		12
vtable_009043f0	0x009043f0		7
vtable_00904410	0x00904410		35
vtable_009044a0	0x009044a0		13
vtable_009044d8	0x009044d8		17
vtable_00904548	0x00904548		7
vtable_00904568	0x00904568		6
vtable_00904584	0x00904584		18
vtable_009045d0	0x009045d0		21
vtable_00904628	0x00904628		5
vtable_0090464c	0x0090464c		8
vtable_00904670	0x00904670		7
vtable_00904694	0x00904694		8
vtable_009046b8	0x009046b8		6
vtable_009046e4	0x009046e4		6
vtable_00904700	0x00904700		8
vtable_00904724	0x00904724		8
vtable_0090476c	0x0090476c		6
vtable_00904788	0x00904788		23
vtable_009047e8	0x009047e8		8
vtable_0090480c	0x0090480c		8
vtable_00904848	0x00904848		27
vtable_009048bc	0x009048bc		10
vtable_009048e8	0x009048e8		10
vtable_00904918	0x00904918		43
vtable_009049c8	0x009049c8		18
vtable_00904a30	0x00904a30		13
vtable_00904a68	0x00904a68		26
vtable_00904b20	0x00904b20		13
vtable_00904b58	0x00904b58		39
vtable_00904c08	0x00904c08		52
vtable_00904cf0	0x00904cf0		39
vtable_00904d90	0x00904d90		80
vtable_00904ee4	0x00904ee4		41
vtable_00904fa8	0x00904fa8		28
vtable_00905048	0x00905048		18
BFXMLObj	0x00906538		13
BFXMLObj	0x0090656c		13
BFXMLObj	0x009065a0		13
ZTWebComponent	0x00906620		37
ZTDownloadItem	0x00906840		30
vtable_00907000	0x00907000		19
vtable_00907054	0x00907054		7
vtable_00907074	0x00907074		6
vtable_00907090	0x00907090		6
vtable_00907110	0x00907110		7
vtable_00907338	0x00907338		16
BFScenarioMgr	0x00907690		43
BFScenarioAltTextData	0x0090773c		17
BFScenarioRule	0x009077c8		34
BFScenarioGroup	0x00907878		42
BFScenarioAction	0x00907950		24
BFScenarioScriptAction	0x009079b0		28
vtable_00907b5c	0x00907b5c		14
BFNISpriteMgr	0x00908ac0		79
BFSpriteMgr	0x00908c10		72
BFTypedObj	0x00908d30		163
vtable_00908fc0	0x00908fc0		520
vtable_009097e8	0x009097e8		24
BFLuaResponse	0x00909960		35
BFLuaStack	0x00909b9c		2
BFScriptContext	0x00909f80		38
BFLuaArgs	0x0090a018		13
BFLuaContext	0x0090a050		38
BFSafeHandle<BFXMLObj>	0x0090a0e8		7
BFAIShowMgr	0x0090a530		24
ZTAIShowMgr	0x0090a590		28
ZTAIShowComponent	0x0090a8b8		33
ZTAIStaffAssignmentComponent	0x0090a978		28
ZTAIShowScheduler	0x0090aa14		15
ZTAIMgr	0x0090ad40		33
vtable_0090adc8	0x0090adc8		54
ZTAIShow	0x0090afc0		25
vtable_0090b0ac	0x0090b0ac		5
ZTAIWaterFilterComponent	0x0090b0c0		26
ZTAIStaffMgr	0x0090b6b8		30
ZTStaffRequestData	0x0090b730		17
ZTAITrickTargetComponent	0x0090b818		28
ZTAIViewAnimals	0x0090bbd0		54
ZTAIStaffRequestController	0x0090bcc8		32
BFAITrickMgr	0x0090c058		24
BFAITrickMgrData	0x0090c0b8		21
ZTAITrickMgrData	0x0090c110		23
ZTAITrickMgr	0x0090c170		30
ZTAIStaffTrainerComponent	0x0090c280		26
ZTAITrickComponent	0x0090c360		25
ZTAITrickComponentData	0x0090c3c8		25
ZTAITrickData	0x0090c4d0		15
ZTAIGuestMgr	0x0090ccd0		32
ZTAITrickPopularityMgr	0x0090cdc0		29
ZTAIVehicleData	0x0090cec8		23
ZTBehVehicleGround	0x0090cf38		42
ZTBehVehicleSky	0x0090cff0		42
ZTBehShowEvent	0x0090d110		40
ZTAIShowEvent	0x0090d1b0		17
ZTAIAmbientsMgr	0x0090d298		33
ZTAIStaffTaskThinker	0x0090d338		65
ZTBehDockTankWall	0x0090d460		43
ZTAISensor	0x0090d518		52
vtable_0090d5ec	0x0090d5ec		4
ZTBehDockPortal	0x0090d610		43
ZTAIEducationData	0x0090d718		23
ZTAISensorLand	0x0090d788		52
vtable_0090d85c	0x0090d85c		4
ZTBehUsePortal	0x0090d880		42
ZTAISensorExplore	0x0090d9d8		52
vtable_0090daac	0x0090daac		5
ZTBehStaffTrainAnimal	0x0090dc98		42
ZTBehSplashGuest	0x0090ddf0		43
ZTAISensorTour	0x0090dee0		57
ZTAIInfluenceEffectData	0x0090e030		21
ZTAISharedInfluenceWatcher	0x0090e088		22
ZTAIInfluenceWatcher	0x0090e0e0		46
ZTAISensorShow	0x0090e1a8		52
vtable_0090e27c	0x0090e27c		4
ZTBehChangeWaterDirtiness	0x0090e2b8		42
ZTAITourTaskThinker	0x0090e3b0		65
ZTAIStaffWaterCleaningMgr	0x0090e510		29
ZTAISensorVA	0x0090e5f8		57
vtable_0090e798	0x0090e798		5
ZTBehFollowTrack	0x0090e7b0		53
ZTAISensorTA	0x0090e898		52
vtable_0090e96c	0x0090e96c		4
ZTBehFollowCable	0x0090e9a8		52
ZTBehKickOffRider	0x0090ea90		40
ZTAISensorPath	0x0090eb50		52
vtable_0090ec24	0x0090ec24		4
ZTBehExitTankGate	0x0090ec48		40
ZTAISensorTransport	0x0090ed00		52
vtable_0090edd4	0x0090edd4		4
ZTBehCureDisease	0x0090edf8		40
ZTAIStateThinker	0x0090ef08		41
vtable_0090efb0	0x0090efb0		13
ZTBehTransportRoute	0x0090eff8		43
ZTAISensorRampage	0x0090f0b8		52
vtable_0090f18c	0x0090f18c		4
ZTAITaskThinker	0x0090f1d0		65
ZTBehUseTransport	0x0090f380		47
ZTAISensorRampagingAnimals	0x0090f488		52
vtable_0090f55c	0x0090f55c		4
ZTBehRideVehicle	0x0090f5c8		42
ZTBehAddSubjectAsDiseaseTarget	0x0090f6b0		40
ZTAIViewData	0x0090f7a8		13
ZTAIViewComponent	0x0090f7e0		25
ZTBehTour	0x0090f850		42
ZTBehFindArtifact	0x0090f910		40
ZTBehAnimateForViewFromTransport	0x0090f9f8		42
ZTBehDigArtifact	0x0090fab8		40
ZTBehEconomy	0x0090fbe8		40
ZTAITourTakerData	0x0090fd70		21
ZTAISharedTourTaker	0x0090fdc8		21
ZTAITourTaker	0x0090fe20		46
ZTAISensorFossilSites	0x0090ff20		52
vtable_0090fff4	0x0090fff4		5
ZTBehViewAnimals	0x009100d8		44
ZTBehViewEvent	0x009101b8		38
BFXMLObj	0x00910250		15
ZTBehFeedback	0x00910290		40
ZTAIFeedbackController	0x00910348		32
ZTBehPlaceTarget	0x00910430		40
ZTBehDockWater	0x009104f0		40
ZTAITrickLevel	0x009105f8		15
ZTBehDockFence	0x00910648		42
ZTAITrickTargetData	0x009106f0		15
ZTBehMorph	0x00910790		40
vtable_009108e0	0x009108e0		5
ZTBehPathRoute	0x009108f8		48
ZTBehTestTargetPos	0x009109f0		40
ZTBehUseGate	0x00910ad8		42
ZTBehTeleportToLoc	0x00910be0		42
ZTBehClimbLadder	0x00910ce0		40
ZTBehReplaceTrickObject	0x00910d98		42
ZTBehUseTankGate	0x00910ed0		42
vtable_009110ac	0x009110ac		5
ZTBehWatchShow	0x009110c0		42
ZTAIStaffSensor	0x00911178		52
vtable_0091124c	0x0091124c		4
ZTBehTargetFence	0x00911290		40
ZTAIStaffSensorSelf	0x00911348		52
vtable_0091141c	0x0091141c		4
ZTBehVehicleBase	0x00911440		40
ZTBehFollowBase	0x00911528		48
ZTPhotoManager	0x00911848		31
BFXMLObj	0x00911ee8		13
ZTPhotoChallengeMgr	0x00911f38		23
ZTPhotoChallengesComponent	0x00911fc0		25
ZTPAParseTree	0x009120e0		25
ZTPhotoChallenge	0x00912168		23
ZTPhotoChallengeSet	0x009121d8		23
ZTPAPTEntityStub	0x00912288		25
ZTPAPTBFPhysObj	0x00912308		25
ZTPAPTBFAICognitiveMgr	0x00912380		25
ZTPAPTBFBehaviorMgr	0x00912410		25
ZTPhotoAnalysisComponent	0x00912588		25
ZTRelationshipQueryData	0x00912780		14
ZTPAPTPhotoAnalysisComponent	0x009127b8		27
ZTPAPTBFAIEntityDataInstance	0x00912830		25
BF2DSndFactory	0x009133e8		26
BF3DSndFactory	0x009134a8		26
BFAmbient2DSndFactory	0x00913528		31
BFAmbient3DSndFactory	0x009135c0		31
vtable_00913720	0x00913720		22
vtable_009137b0	0x009137b0		36
vtable_00913858	0x00913858		20
vtable_009138b0	0x009138b0		32
vtable_00913958	0x00913958		16
vtable_009139b8	0x009139b8		40
vtable_00913cac	0x00913cac		4
BFSafeHandle<BF2DSnd>			0
BFSafeHandle<BFAICognitiveMgr>			0
BFSafeHandle<BFAIEntityDataInstance>			0
BFSafeHandle<BFAIMgr>			0
BFSafeHandle<BFAIToken>			0
BFSafeHandle<BFAnimManager>			0
BFSafeHandle<BFBehavior>			0
BFSafeHandle<BFBinder>			0
BFSafeHandle<BFBinderRoot>			0
BFSafeHandle<BFComponent>			0
BFSafeHandle<BFGBiome>			0
BFSafeHandle<BFGCollisionMgr>			0
BFSafeHandle<BFGCollisionTester>			0
BFSafeHandle<BFGEntity>			0
BFSafeHandle<BFGEntityContainer>			0
BFSafeHandle<BFGEntityTriggerMgr>			0
BFSafeHandle<BFGInfluenceMgr>			0
BFSafeHandle<BFGManager>			0
BFSafeHandle<BFGPathFinderMgr>			0
BFSafeHandle<BFGPlacementGrid>			0
BFSafeHandle<BFGPuzzleMgr>			0
BFSafeHandle<BFGRampageMgr>			0
BFSafeHandle<BFGTransportationMgr>			0
BFSafeHandle<BFGTraversableArea>			0
BFSafeHandle<BFGViewableObjectMgr>			0
BFSafeHandle<BFLoadListener>			0
BFSafeHandle<BFLocaleMgr>			0
BFSafeHandle<BFLocomotionMgr>			0
BFSafeHandle<BFParticleDictionary>			0
BFSafeHandle<BFPerformanceMonitor>			0
BFSafeHandle<BFPhysObj>			0
BFSafeHandle<BFRegistry>			0
BFSafeHandle<BFResourceMgr>			0
BFSafeHandle<BFSafeHandledObj>			0
BFSafeHandle<BFScriptContextMgr>			0
BFSafeHandle<BFSoundMgr>			0
BFSafeHandle<BFSoundStageMgr>			0
BFSafeHandle<BFSpriteMgr>			0
BFSafeHandle<BFSteerAvoidEntity>			0
BFSafeHandle<BFSteerVector>			0
BFSafeHandle<BFTimeKeeper>			0
BFSafeHandle<BFTraversabilityMgr>			0
BFSafeHandle<BFUndoMgr>			0
BFSafeHandle<BFUserProfileMgr>			0
BFSafeHandle<BFWaterGroup>			0
BFSafeHandle<BFWindowComponent>			0
BFSafeHandle<BFXMLSchemaMgr>			0
BFSafeHandle<IComponent>			0
BFSafeHandle<IContainer>			0
BFSafeHandle<ILayout>			0
BFSafeHandle<IRoot>			0
BFSafeHandle<ISlider>			0
BFSafeHandle<ISoundMgr>			0
BFSafeHandle<IStatic>			0
BFSafeHandle<IText>			0
BFSafeHandle<ZTAIGuestMgr>			0
BFSafeHandle<ZTAIShow>			0
BFSafeHandle<ZTAIShowComponent>			0
BFSafeHandle<ZTAIStaffMgr>			0
BFSafeHandle<ZTAITrickComponent>			0
BFSafeHandle<ZTAITrickTargetComponent>			0
BFSafeHandle<ZTAdoptionMgr>			0
BFSafeHandle<ZTDiseaseMgr>			0
BFSafeHandle<ZTEconomyMgr>			0
BFSafeHandle<ZTFavoriteAnimalMgr>			0
BFSafeHandle<ZTFeedbackMgr>			0
BFSafeHandle<ZTFence>			0
BFSafeHandle<ZTGate>			0
BFSafeHandle<ZTGestureComponent>			0
BFSafeHandle<ZTGestureMgr>			0
BFSafeHandle<ZTMode>			0
BFSafeHandle<ZTPhotoManager>			0
BFSafeHandle<ZTShowMixerManager>			0
BFSafeHandle<ZTShowTimerManager>			0
BFSafeHandle<ZTStatus>			0
BFSafeHandle<ZTTank>			0
BFSafeHandle<ZTTankMgr>			0
BFSafeHandle<ZTTankSegment>			0
BFSafeHandle<ZTTankWall>			0
BFSafeHandle<ZTTransportCircuitSegment>			0
BFSafeHandle<ZTTransportCrossingGate>			0
BFSafeHandle<ZTTransportGroundCircuit>			0
BFSafeHandle<ZTTransportGroundTrack>			0
BFSafeHandle<ZTTransportSkyCircuit>			0
BFSafeHandle<ZTTransportSkyTrack>			0
BFSafeHandle<ZTTransportStationBase>			0
BFSafeHandle<ZTTransportTrack>			0
BFSafeHandle<ZTTrickButtonMgr>			0
BFSafeHandle<ZTUIAdoptionButton>			0
BFSafeHandle<ZTUITimedEvents>			0
BFSafeHandle<ZTVehicleBase>			0
BFSafeHandle<ZTViewableSubMgr>			0
BFSafeHandle<ZTWorldMgr>			0
BFSafeHandle<ZTWorldSndMgr>			0
